date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2011-01-15,Brazzaville,Brazzaville,Mikalou,-4.259167,15.284722,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,635.0,1.3088
2011-01-15,Brazzaville,Brazzaville,Mikalou,-4.259167,15.284722,pulses and nuts,Beans (white),KG,actual,Retail,XAF,2091.0,4.3097
2011-01-15,Brazzaville,Brazzaville,Moungali,-4.259167,15.284722,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,575.0,1.1851
2011-01-15,Brazzaville,Brazzaville,Moungali,-4.259167,15.284722,pulses and nuts,Beans (white),KG,actual,Retail,XAF,1739.0,3.5842
2011-01-15,Brazzaville,Brazzaville,Ouenzé,-4.2452176,15.2809247,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,595.0,1.2263
2011-01-15,Brazzaville,Brazzaville,Ouenzé,-4.2452176,15.2809247,pulses and nuts,Beans (white),KG,actual,Retail,XAF,1507.0,3.106
2011-01-15,Brazzaville,Brazzaville,Total,-4.259167,15.284722,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,514.0,1.0594
2011-01-15,Brazzaville,Brazzaville,Total,-4.259167,15.284722,pulses and nuts,Beans (white),KG,actual,Retail,XAF,1700.0,3.5038
2011-02-15,Brazzaville,Brazzaville,Mikalou,-4.259167,15.284722,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,631.0,1.3201
2011-02-15,Brazzaville,Brazzaville,Mikalou,-4.259167,15.284722,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,633.0,1.3243
2011-02-15,Brazzaville,Brazzaville,Mikalou,-4.259167,15.284722,pulses and nuts,Beans (white),KG,actual,Retail,XAF,1787.0,3.7387
2011-02-15,Brazzaville,Brazzaville,Moungali,-4.259167,15.284722,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,557.0,1.1653
2011-02-15,Brazzaville,Brazzaville,Moungali,-4.259167,15.284722,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,604.0,1.2637
2011-02-15,Brazzaville,Brazzaville,Moungali,-4.259167,15.284722,pulses and nuts,Beans (white),KG,actual,Retail,XAF,1728.0,3.6152
2011-02-15,Brazzaville,Brazzaville,Ouenzé,-4.2452176,15.2809247,cereals and tubers,"Rice (mixed, low quality)",KG,actual,Retail,XAF,562.0,1.1758
